x, y, z
-699.999999999896, -400.000000000111, -250.000000000059
-699.999999999362, -400.000000001117, -199.9999999999
-699.99999999965, -400.000000000593, -149.999999999967
-700.000000000496, -399.99999999914, -100.000000000267
-699.999999999486, -350.000000001152, -699.999999999938
-700.000000000401, -349.999999999253, -649.999999999875
-700.000000000229, -349.999999999599, -599.999999999811
-699.99999999973, -350.000000000541, -550.00000000007
-699.999999999847, -350.000000000298, -499.99999999988
-699.999999999824, -350.000000000355, -450.000000000049
-699.999999999824, -350.000000000395, -400.00000000015
-700.000000000149, -349.99999999967, -350.000000000013
-700.00000000014, -349.999999999774, -300.000000000033
-699.999999999959, -349.999999999954, -249.999999999965
-700.000000000471, -349.999999999115, -200.000000000028
-700.000000000323, -349.999999999434, -150.00000000018
-699.999999999744, -350.000000000483, -99.999999999872
-700.000000001103, -299.999999997925, -749.999999999626
-700.000000000029, -300.000000000189, -699.999999999857
-700.000000000101, -299.99999999988, -649.999999999953
-700.000000000056, -300.000000000113, -599.999999999846
-699.999999999957, -299.999999999886, -550.000000000077
-699.999999999851, -300.000000000265, -500.000000000098
-700.000000000124, -299.999999999878, -449.999999999807
-699.999999999991, -299.999999999938, -399.999999999953
-700.000000000064, -300.000000000008, -349.999999999754
-700.000000000021, -299.999999999977, -299.999999999881
-699.999999999738, -300.000000000543, -250.000000000093
-699.999999999937, -300.00000000008, -200.000000000073
-700.000000000219, -299.999999999685, -150.000000000027
-699.999999999789, -300.000000000236, -99.999999999985
-700.000000000251, -249.999999999766, -749.99999999982
-699.999999999692, -250.000000000459, -700.000000000283
-699.999999999826, -250.000000000103, -650.000000000204
-699.999999999999, -250.000000000029, -599.99999999983
-700.000000000022, -249.999999999917, -549.999999999986
-700.000000000026, -249.999999999808, -500.000000000055
-700.000000000098, -250.000000000044, -449.999999999797
-699.999999999948, -250.000000000152, -399.999999999971
-699.999999999893, -250.000000000148, -350.000000000034
-699.999999999903, -250.000000000259, -299.999999999887
-700.00000000001, -249.999999999967, -250.000000000064
-699.99999999997, -250.000000000053, -199.999999999916
-699.999999999935, -250.000000000227, -150.000000000188
-699.999999999748, -250.000000000505, -99.999999999932
-700.000000000072, -249.999999999866, -50.000000000122
-699.999999999699, -200.000000000844, -800.00000000003
-700.000000000181, -199.999999999641, -749.999999999814
-700.000000000082, -199.999999999914, -699.999999999989
-699.999999999962, -199.999999999904, -650.000000000036
-700.000000000076, -199.999999999865, -600.000000000135
-699.999999999963, -200.000000000201, -549.999999999895
-699.999999999964, -199.999999999877, -500.000000000136
-699.99999999996, -200.000000000168, -450.000000000134
-699.999999999986, -200.000000000125, -399.999999999836
-699.999999999918, -200.000000000243, -349.999999999904
-699.999999999911, -200.000000000226, -299.999999999962
-700.000000000123, -199.999999999754, -250.000000000101
-699.999999999971, -199.999999999975, -199.99999999989
-699.999999999986, -200.000000000152, -150.000000000121
-700.000000000045, -199.999999999814, -99.999999999883
-699.999999999965, -199.999999999985, -50.000000000003
-699.999999999907, -149.999999999965, -800.000000000106
-699.999999999897, -150.00000000047, -749.999999999936
-700.000000000226, -149.999999999734, -699.999999999737
-699.999999999939, -150.000000000086, -650.000000000051
-699.999999999899, -149.99999999992, -600.000000000169
-699.99999999987, -150.000000000176, -549.999999999997
-700.000000000033, -149.999999999958, -500.000000000043
-699.999999999883, -150.000000000099, -449.999999999923
-699.999999999889, -150.000000000115, -400.000000000227
-699.99999999999, -150.000000000066, -350.000000000066
-700.000000000046, -149.999999999963, -299.999999999833
-700.000000000112, -149.99999999993, -249.999999999968
-700.000000000136, -149.999999999721, -200.000000000002
-700.000000000072, -149.999999999899, -149.999999999927
-699.999999999835, -150.000000000415, -49.999999999967
-699.999999999707, -100.000000000614, -800.000000000226
-700.000000000157, -99.999999999825, -749.999999999741
-700.00000000013, -99.999999999655, -700.000000000009
-700.000000000198, -99.99999999956, -649.99999999988
